NAME	Useful for thermal	In CAD	Notes
payload.fTOFStatus.fFEETemp.5			
payload.fTOFStatus.fFEETemp.0			
payload.fTOFStatus.fFEETemp.2			
payload.fTOFStatus.fFEETemp.7			
payload.fTOFStatus.fFEETemp.6			
payload.fTOFStatus.fFEEImon.3			
payload.fTOFStatus.fFEEImon.6			
payload.fTOFStatus.fFEEImon.4			
payload.fTOFStatus.fFEEImon.7			
payload.fTOFStatus.fFEEImon.2			
payload.fTOFStatus.fFEEImon.8			
payload.fTOFStatus.fFEEImon.1			
payload.fTOFStatus.fFEEImon.0			
payload.fTOFStatus.fFEEImon.5			
payload.fTOFStatus.fTimeStamp			
payload.fTOFStatus.fTemp1			
payload.fTOFStatus.fTemp0			
payload.fTOFStatus.fIin			
payload.fTOFStatus.fXadc			
payload.fTOFStatus.fVin			
payload.dctPotentialV			
payload.fMKSAlt.fLowRange			
payload.fMKSAlt.fMidRange			
payload.fMKSAlt.fHighRange			
payload.dctHVPressure			
payload.fFlowMeterMixed.pressure			
payload.fFlowMeterMixed.volume			
payload.fFlowMeterMixed.mass			
payload.fFlowMeterMixed.temperature			
payload.fFlowMeterMixed.setpoint			
payload.fFlowMeterMixed.gasnum			
payload.fTemp_MainHSKInternal			
payload.fGPSTime.fWeekNumber			
payload.fGPSTime.fSecondsOfWeek			
payload.fGPSTime.fCPUTime			
payload.fGPSTime.fTimeOffset			
payload.fFlowMeterArgon.mass			
payload.fFlowMeterArgon.volume			
payload.fFlowMeterArgon.setpoint			
payload.fFlowMeterArgon.temperature			
payload.fFlowMeterArgon.pressure			
payload.fFlowMeterArgon.gasnum			
payload.fMagnetHSK.magnetRTDsOhms			
payload.fMagnetHSK.tempProbeAll			
payload.fMagnetHSK.heliumLevels			
payload.fMagnetHSK.pressure			
payload.fMagnetHSK.elapsed			
payload.fMagnetHSK.magnetFlows			
payload.fMagnetHSK.hskBoardTemp			
payload.dctThermistor			
payload.fGPSPos.fSatCount			
payload.fGPSPos.fStatus			
payload.fGPSPos.fDimension			
payload.fGPSPos.fAltitude			
payload.fGPSPos.fAutoOrManual			
payload.fGPSPos.fLongitude			
payload.fGPSPos.fLatitude			
payload.fRICHStateMap			
payload.fCurrentRunNumber			
payload.fCPUTemp			
payload.fRICHThermal.TargetObjectTemperature_A			
payload.fRICHThermal.SinkTemperature_B			
payload.fRICHThermal.ObjectTemperature_B			
payload.fRICHThermal.SinkTemperature_A			
payload.fRICHThermal.OutputVoltage_B			
payload.fRICHThermal.FaultStatePump_2			
payload.fRICHThermal.RPM_Pump			
payload.fRICHThermal.OutputCurrent_A			
payload.fRICHThermal.OutputVoltage_A			
payload.fRICHThermal.FaultStatePump_1			
payload.fRICHThermal.TargetObjectTemperature_B			
payload.fRICHThermal.OutputCurrent_B			
payload.fRICHThermal.ObjectTemperature_A			
payload.fBatStat			
payload.fAbsolutePressure			
payload.dctVacRef			
payload.dctCathodeV			
payload.fGaugeTemp			
payload.main_temps			
payload.fCurrentDiskSpace			
payload.fDiniTempVCCMaster			
payload.fDiniTempVCCSlave			
payload.fDiniTempVReg1			
payload.fDiniTempVReg0			
payload.fDiniTempBoard			
payload.fDiniTempFPGA			
